ID,RegistrationDate,District,same_as_wikidata_distrito,Hood,same_as_wikidata_hood,HoodCanonized,Street,same_as_wikidata_street,StreetCanonized,Direction,DirectionCanonized,Number,Company,same_as_wikidata_company,Places,Longitude,Latitude
51,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,plaza del Emperador Carlos V,https://www.wikidata.org/wiki/Q7203711,PlazaDelEmperadorCarlosV, Plaza Del Emperador Carlos V 7,PlazaDelEmperadorCarlosV7,7,BiciMAD,https://www.wikidata.org/wiki/Q17402113,27,-3.6935934,40.4077234
52,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Cortes,https://www.wikidata.org/wiki/Q2535637,01-03Cortes,plaza de Santa Ana,https://www.wikidata.org/wiki/Q740210,PlazaDeSantaAna, Plaza De Santa Ana 9,PlazaDeSantaAna9,9,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7007838,40.4145181
53,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,calle de Valencia,https://www.wikidata.org/wiki/Q26810468,CalleDeValencia, Calle De Valencia 2,CalleDeValencia2,2,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7007295,40.4082802
54,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Justicia,https://www.wikidata.org/wiki/Q1992319,01-04Justicia,calle de Barceló,https://www.wikidata.org/wiki/Q27051120,CalleDeBarcelo, Calle De Barcelo 7,CalleDeBarcelo7,7,BiciMAD,https://www.wikidata.org/wiki/Q17402113,21,-3.7003435,40.4266233
55,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Universidad,https://www.wikidata.org/wiki/Q10387767,01-05Universidad,plaza de San Ildefonso,https://www.wikidata.org/wiki/Q6080070,PlazaDeSanIldefonso, Plaza De San Ildefonso 8,PlazaDeSanIldefonso8,8,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7019295,40.4240716
56,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Sol,https://www.wikidata.org/wiki/Q2465181,01-06Sol,Plaza del Carmen,https://www.wikidata.org/wiki/Q6080406,PlazaDelCarmen, Plaza Del Carmen 1,PlazaDelCarmen1,1,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7032875,40.418484
57,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Universidad,https://www.wikidata.org/wiki/Q10387767,01-05Universidad,calle de Santa Cruz de Marcenado,https://www.wikidata.org/wiki/Q54801433,CalleDeSantaCruzDeMarcenado, Calle De Santa Cruz De Marcenado 24,CalleDeSantaCruzDeMarcenado24,24,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7128181,40.4296363
58,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Justicia,https://www.wikidata.org/wiki/Q1992319,01-04Justicia,calle de Augusto Figueroa,https://www.wikidata.org/wiki/Q29564346,CalleDeAugustoFigueroa, Calle De Augusto Figueroa 33,CalleDeAugustoFigueroa33,33,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.6979458,40.4222601
59,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Universidad,https://www.wikidata.org/wiki/Q10387767,01-05Universidad,calle del Espíritu Santo,https://www.wikidata.org/wiki/Q5740833,CalleDelEspirituSanto, Calle Del Espiritu Santo 30,CalleDelEspirituSanto30,30,BiciMAD,https://www.wikidata.org/wiki/Q17402113,21,-3.7041167,40.4254802
60,2014-06-26T00:00:00Z,Retiro,https://www.wikidata.org/wiki/Q2002296,Jerónimos,https://www.wikidata.org/wiki/Q10306766,03-05Jeronimos,plaza de la Independencia,https://www.wikidata.org/wiki/Q4967671,PlazaDeLaIndependencia, Plaza De La Independencia 7,PlazaDeLaIndependencia7,7,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.6881994,40.4194508
61,2014-06-26T00:00:00Z,Retiro,https://www.wikidata.org/wiki/Q2002296,Ibiza,https://www.wikidata.org/wiki/Q15249910,03-04Ibiza,calle de O'Donnell,https://www.wikidata.org/wiki/Q5740859,CalleDeOdonnell, Calle De O'donnell 30,CalleDeOdonnell30,30,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.675206,40.4214379
62,2014-06-26T00:00:00Z,Retiro,https://www.wikidata.org/wiki/Q2002296,Ibiza,https://www.wikidata.org/wiki/Q15249910,03-04Ibiza,calle de O'Donnell,https://www.wikidata.org/wiki/Q5740859,CalleDeOdonnell, Calle De O'donnell 48,CalleDeOdonnell48,48,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.6724223,40.4212986
63,2014-06-26T00:00:00Z,Retiro,https://www.wikidata.org/wiki/Q2002296,Ibiza,https://www.wikidata.org/wiki/Q15249910,03-04Ibiza,calle de Ibiza,https://www.wikidata.org/wiki/Q63247838,CalleDeIbiza, Calle De Ibiza 64,CalleDeIbiza64,64,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.6706508,40.4178926
